,strategy,dataset,hop,executors,links,time
177,AA,facebook,1,4,1000,21.148234367370605
178,AA,USAir,1,4,10,3.0152089595794678
179,AA,facebook,2,4,10000,3045.1492483615875
180,AB,facebook,1,8,100,1512.4357740879059
181,B,PB,1,8,1000,1158.003184080124
182,AA,arxiv,1,8,10000,17.703288316726685
183,AB,facebook,1,8,500,1549.8671298027039
184,AA,arxiv,2,12,10000,1642.5556344985962
185,AA,arxiv,2,4,1000,783.6746129989624
186,B,arxiv,1,12,10,20.693414211273193
187,AA,arxiv,2,4,100,630.3027677536011
188,B,arxiv,1,8,10,27.250743865966797
189,AA,facebook,1,12,10000,40.48353290557861
190,AA,yeast,1,8,1000,4.416790962219238
191,AA,PB,2,8,10,15.550602674484253
192,AA,arxiv,2,8,100,628.4490187168121
193,AB,arxiv,1,12,10,51.385494232177734
194,B,yeast,1,4,1000,1202.9594960212708
195,AB,arxiv,1,8,1000,462.6271619796753
196,AA,yeast,2,4,10,2.9983456134796143
197,AA,arxiv,1,4,500,6.907779932022095
198,AA,facebook,1,12,1000,21.01850914955139
199,B,USAir,1,12,1000,843.155905008316
200,AB,USAir,1,8,500,245.3757746219635
201,AA,arxiv,1,8,500,6.699990272521973
202,AB,arxiv,1,4,1000,475.5395772457123
203,AA,PB,2,12,10,15.591596841812134
204,AA,yeast,1,12,1000,4.307572841644287
205,AA,facebook,1,4,5000,59.357218742370605
206,AA,arxiv,2,12,25000,4363.752858161926
207,AA,USAir,2,12,10,3.527468681335449
208,AA,arxiv,1,8,25000,39.49669933319092
209,B,PB,1,12,100,120.85293292999268
210,AB,facebook,1,12,500,1525.6555380821228
211,B,arxiv,1,4,1000,1452.1622061729431
212,AA,facebook,2,8,5000,861.9958028793335
213,B,yeast,1,8,10,21.602296352386475
214,AA,facebook,1,12,25000,99.05709981918335
215,B,PB,1,4,10,24.78349256515503
216,AA,yeast,2,12,10,3.005650758743286
217,AB,yeast,1,12,10,19.912943840026855
218,AA,arxiv,2,4,10,58.99835658073425
219,AA,facebook,1,12,50000,179.58053970336914
220,AA,arxiv,1,8,1000,7.0010340213775635
221,B,facebook,1,12,100,160.65188694000244
222,AA,arxiv,2,12,50000,8626.96903514862
223,AA,arxiv,1,8,50000,75.05725169181824
224,AA,yeast,2,4,1000,11.076189756393433
225,AA,USAir,2,12,1000,9.331317901611328
226,AA,USAir,2,4,1000,12.060151100158691
227,AA,facebook,2,4,50000,14656.660126209259
228,B,facebook,1,12,500,645.6884922981262
229,AA,facebook,2,8,1000,289.46587204933167
230,AA,PB,1,12,1000,8.934165000915527
231,AA,arxiv,1,8,5000,11.143316507339478
232,AA,PB,2,8,1000,85.14568257331848
233,AB,facebook,1,12,100,1532.044399023056
234,B,PB,1,12,500,577.1045925617218
235,AA,facebook,2,4,25000,7318.822672128677
236,AA,arxiv,1,12,10,2.9979336261749268
237,B,arxiv,1,8,100,135.52212238311768
238,AB,USAir,1,12,100,231.10703945159912
239,AA,facebook,1,4,10000,111.13218379020691
240,AA,arxiv,1,8,10,2.946875810623169
241,B,arxiv,1,4,100,155.0763282775879
242,AB,arxiv,1,4,100,503.78675413131714
243,AB,yeast,1,12,100,251.32598638534546
244,AB,arxiv,1,4,500,516.928071975708
245,AB,yeast,1,12,500,260.0721867084503
246,B,arxiv,1,12,1000,1123.7430124282837
247,B,facebook,1,4,10,29.411742687225342
248,AB,USAir,1,12,500,260.3643157482147
249,B,arxiv,1,8,500,587.7706921100616
250,AA,facebook,2,12,10,48.795100688934326
251,AA,arxiv,2,8,10000,2404.147976875305
252,AA,arxiv,1,12,10000,19.8093044757843
253,B,arxiv,1,4,500,724.5496761798859
254,B,USAir,1,4,10,21.996458053588867
255,AA,facebook,2,12,10000,1120.3518793582916
256,AB,yeast,1,4,500,276.0540885925293
257,AA,facebook,2,12,50000,4977.581291913986
258,AA,PB,1,12,100,6.472516298294067
259,AA,facebook,2,12,500,268.14186692237854
260,AA,USAir,2,8,10,3.611967086791992
261,AB,PB,1,12,500,691.6304819583893
262,AA,arxiv,2,12,1000,764.7803571224213
263,AA,arxiv,1,12,50000,51.88974857330322
